# Port list
#   Borrowed heavily from Nmap's port list and 
#     www.simovits.com trojan port list, with additions
#
# format:  port[ut] | description | citation (URL) | date entered
#
783u | hp-alarm-mgr - hp performance data alarm manager |  | 
786u | concert |  | 
800u | mdbs_daemon |  | 
801t | device |  | 
808t | WinHole | http://www.simovits.com/trojans/tr_data/y1468.html | 2001-06-06
871t | supfilesrv - SUP server |  | 
888u | accessbuilder |  | 
911t | Dark Shadow | http://www.simovits.com/trojans/tr_data/y311.html | 2001-06-06
993t | simap - IMAP over SSL |  | 
996u | vsinet |  | 
997t | maitrd |  | 
998u | puparp |  | 
999u | applix - Applix ac |  | 
1000u | ock |  | 
1001t | Der Späher  /  Der Spaeher | http://www.simovits.com/trojans/tr_data/y329.html | 2001-06-06
1008t | ufsd - ufsd # UFS-aware server |  | 
1010t | Doly Trojan | http://www.simovits.com/trojans/tr_data/y357.html | 2001-06-06
1011t | Doly Trojan | http://www.simovits.com/trojans/tr_data/y357.html | 2001-06-06
1012t | Doly Trojan | http://www.simovits.com/trojans/tr_data/y357.html | 2001-06-06
1015t | Doly Trojan | http://www.simovits.com/trojans/tr_data/y357.html | 2001-06-06
1016t | Doly Trojan | http://www.simovits.com/trojans/tr_data/y357.html | 2001-06-06
1020t | Vampire | http://www.simovits.com/trojans/tr_data/y1420.html | 2001-06-06
1024t | NetSpy | | 2000-05-30
1025u | blackjack - network blackjack |  | 
1026t | nterm - remote_login network_terminal |  | 
1030u | iad1 - BBN IAD |  | 
1031u | iad2 - BBN IAD |  | 
1032t | iad3 - BBN IAD |  | 
1035t | Multidropper | http://www.simovits.com/trojans/tr_data/y844.html | 2001-06-06
1042t | BLA trojan | http://www.simovits.com/trojans/tr_data/y159.html | 2001-06-06
1045t | Rasmin | http://www.simovits.com/trojans/tr_data/y1066.html | 2001-06-06
1049t | /sbin/initd | http://www.simovits.com/trojans/tr_data/y1135.html | 2001-06-06
1050t | MiniCommand | http://www.simovits.com/trojans/tr_data/y805.html | 2001-06-06
1053t | The Thief | http://www.simovits.com/trojans/tr_data/y1338.html | 2001-06-06
1054t | AckCmd | http://www.simovits.com/trojans/tr_data/y34.html | 2001-06-06
1058u | nim |  | 
1059u | nimreg |  | 
1067u | instl_boots - Installation Bootstrap Proto. Serv. |  | 
1068t | instl_bootc - Installation Bootstrap Proto. Cli. |  | 
1080u | socks |  | 
1081t | WinHole | http://www.simovits.com/trojans/tr_data/y1468.html | 2001-06-06
1082t | WinHole | http://www.simovits.com/trojans/tr_data/y1468.html | 2001-06-06
1083t | ansoft-lm-1 - Anasoft License Manager |  | 
1084t | ansoft-lm-2 - Anasoft License Manager |  | 
1090t | Xtreme | http://www.simovits.com/trojans/tr_data/y1527.html | 2001-06-06
1095t | Remote Administration Tool - RAT | http://www.simovits.com/trojans/tr_data/y1084.html | 2001-06-06
1097t | Remote Administration Tool - RAT | http://www.simovits.com/trojans/tr_data/y1084.html | 2001-06-06
1098t | Remote Administration Tool - RAT | http://www.simovits.com/trojans/tr_data/y1084.html | 2001-06-06
1099t | Blood Fest Evolution | http://www.simovits.com/trojans/tr_data/y168.html | 2001-06-06
1103t | xaudio - Xaserver # X Audio Server |  | 
1109t | kpop - Pop with Kerberos |  | 
1110u | nfsd-keepalive - Client status info |  | 
1112t | msql - mini-sql server |  | 
1127t | supfiledbg - SUP debugging |  | 
1150t | Orion | http://www.simovits.com/trojans/tr_data/y954.html | 2001-06-06
1151t | Orion | http://www.simovits.com/trojans/tr_data/y954.html | 2001-06-06
1155u | nfa - Network File Access |  | 
1167u | phone - conference calling |  | 
1170t | Psyber Stream Server - PSS | http://www.simovits.com/trojans/tr_data/y1035.html | 2001-06-06
1178t | skkserv - SKK (kanji input) |  | 
1200u | NoBackO | http://www.simovits.com/trojans/tr_data/y922.html | 2001-06-06
1201u | NoBackO | http://www.simovits.com/trojans/tr_data/y922.html | 2001-06-06
1207t | SoftWAR | http://www.simovits.com/trojans/tr_data/y1212.html | 2001-06-06
1208t | Infector | http://www.simovits.com/trojans/tr_data/y641.html | 2001-06-06
1212u | lupa |  | 
1222u | nerv - SNI R&D network |  | 
1234t | SubSeven Java client | http://www.simovits.com/trojans/tr_data/y1268.html | 2001-06-06
1241t | msg - remote message server |  | 
1243t | BackDoor-G, SubSeven, SubSeven Apocalypse | | 2000-05-30
1245t | VooDoo Doll | http://www.simovits.com/trojans/tr_data/y1507.html | 2001-06-06
1248u | hermes |  | 
1255t | Scarab | http://www.simovits.com/trojans/tr_data/y1137.html | 2001-06-06
1256t | Project nEXT | http://www.simovits.com/trojans/tr_data/y1030.html | 2001-06-06
1269t | Matrix | http://www.simovits.com/trojans/tr_data/y778.html | 2001-06-06
1272t | The Matrix | http://www.simovits.com/trojans/tr_data/y1332.html | 2001-06-06
1313t | NETrojan | http://www.simovits.com/trojans/tr_data/y896.html | 2001-06-06
1338t | Millenium Worm | http://www.simovits.com/trojans/tr_data/y800.html | 2001-06-06
1346u | alta-ana-lm - Alta Analytics License Manager |  | 
1347t | bbn-mmc - multi media conferencing |  | 
1348u | bbn-mmx - multi media conferencing |  | 
1349t | sbook - Registration Network Protocol |  | 
1350t | editbench - Registration Network Protocol |  | 
1351t | equationbuilder - Digital Tool Works (MIT) |  | 
1352t | lotusnote - Lotus Note |  | 
1353u | relief - Relief Consulting |  | 
1354t | rightbrain - RightBrain Software |  | 
1355t | intuitive-edge - Intuitive Edge |  | 
1356t | cuillamartin - CuillaMartin Company |  | 
1357u | pegboard - Electronic PegBoard |  | 
1358u | connlcli |  | 
1359u | ftsrv |  | 
1360u | mimer |  | 
1361u | linx |  | 
1362t | timeflies |  | 
1363t | ndm-requester - Network DataMover Requester |  | 
1364t | ndm-server - Network DataMover Server |  | 
1365t | adapt-sna - Network Software Associates |  | 
1366u | netware-csp - Novell NetWare Comm Service Platform |  | 
1367t | dcs |  | 
1368t | screencast |  | 
1369u | gv-us - GlobalView to Unix Shell |  | 
1370t | us-gv - Unix Shell to GlobalView |  | 
1371u | fc-cli - Fujitsu Config Protocol |  | 
1372t | fc-ser - Fujitsu Config Protocol |  | 
1373t | chromagrafx |  | 
1374t | molly - EPI Software Systems |  | 
1375u | bytex |  | 
1376t | ibm-pps - IBM Person to Person Software |  | 
1377t | cichlid - Cichlid License Manager |  | 
1378t | elan - Elan License Manager |  | 
1379t | dbreporter - Integrity Solutions |  | 
1380t | telesis-licman - Telesis Network License Manager |  | 
1381t | apple-licman - Apple Network License Manager |  | 
1383u | gwha - GW Hannaway Network License Manager |  | 
1384u | os-licman - Objective Solutions License Manager |  | 
